,total_reads,counts,deltatime,density
1,652598.0,399,625860.0,0.0006375227686703097
2,3109435.0,397,440400.0,0.0009014532243415077
4,604556.0,400,3474000.0,0.00011514104778353483
5,541436.0,400,3730440.0,0.00010722595725973344
6,481600.0,400,3957060.0,0.0001010851490753236
7,454971.0,399,1146840.0,0.00034791252485089465
8,504972.0,400,1412580.0,0.00028316980277223237
9,454357.0,400,1333560.0,0.00029994900866852633
10,865579.0,397,8481300.0,4.6808861849009e-05
11,833813.0,400,6253680.0,6.396233897481163e-05
12,754628.0,400,4152840.0,9.631962705040406e-05
14,879960.0,400,6066000.0,6.594131223211343e-05
16,424651.0,400,2437440.0,0.00016410660364973086
17,465096.0,400,2449140.0,0.00016332263570069494
18,383307.0,399,542460.0,0.0007355381041920142
19,489242.0,400,3195540.0,0.0001251744619062819
20,540682.0,400,4447620.0,8.993574091311757e-05
21,457124.0,400,443340.0,0.0009022420715477963
23,434826.0,400,4152000.0,9.633911368015414e-05
25,313012.0,400,2487300.0,0.00016081695010654123
26,390519.0,400,1424820.0,0.0002807372159290296
27,580770.0,400,2718060.0,0.00014716378593555696
28,597730.0,400,3721740.0,0.00010747661040266113
29,946440.0,399,1658520.0,0.00024057593517111641
30,776881.0,400,9096180.0,4.397450358282268e-05
31,473096.0,398,2626200.0,0.00015154976772523038
32,351374.0,400,3217140.0,0.00012433403582063572
34,438843.0,400,194460.0,0.002056978298878947
35,478891.0,400,1823340.0,0.00021937762567595732
36,535773.0,400,3044220.0,0.00013139654821267845
37,1020494.0,400,7951440.0,5.030535349571901e-05
38,375321.0,400,117420.0,0.00340657468915006
39,556168.0,400,3041640.0,0.00013150800226193764
40,496397.0,398,121920.0,0.0032644356955380577
42,625935.0,400,4179660.0,9.570156424206754e-05
43,605370.0,397,1288500.0,0.00030811020566550253
45,444437.0,400,1841040.0,0.00021726850041281016
46,446519.0,400,1683960.0,0.0002375353333808404
48,587710.0,399,2272440.0,0.0001755821935892697
49,331668.0,400,810840.0,0.0004933155739726703
50,396520.0,400,374760.0,0.0010673497705197994
55,525259.0,400,2071680.0,0.0001930800123571208
56,303700.0,400,1073100.0,0.0003727518404622123
58,240266.0,400,543360.0,0.0007361601884570083
59,684975.0,400,2257020.0,0.00017722483628855747
60,619006.0,399,3049680.0,0.0001308333989139844
61,406092.0,400,2271240.0,0.00017611524981948188
62,596209.0,400,3221100.0,0.00012418118034211915
63,494360.0,399,109800.0,0.003633879781420765
65,580887.0,400,3653760.0,0.00010947626554562971
66,561316.0,400,103260.0,0.003873716831299632
68,408186.0,400,1250760.0,0.0003198055582206019
69,524177.0,396,2417580.0,0.0001638001638001638
70,362515.0,400,1157880.0,0.00034545894220471896
78,448593.0,400,3038100.0,0.00013166123564069647
88,501671.0,397,3584760.0,0.00011074660507258505
89,487461.0,399,1823280.0,0.00021883638278267738
90,462657.0,400,2453520.0,0.00016303107372265155
96,1225642.0,400,11947860.0,3.347879871374455e-05
99,483466.0,400,4087140.0,9.786794677941054e-05
100,951019.0,397,163800.0,0.0024236874236874236
150,549616.0,400,987240.0,0.00040516996880191243
151,421999.0,400,2014980.0,0.00019851313660681496
153,552615.0,400,3048900.0,0.00013119485716159927
155,453506.0,400,2325420.0,0.0001720119376284714
156,515985.0,400,2860140.0,0.00013985329389470445
157,667068.0,400,1578000.0,0.00025348542458808617
158,208321.0,400,216300.0,0.0018492834026814608
159,381015.0,400,709680.0,0.0005636343140570398
166,647912.0,400,2465640.0,0.00016222968478772247
301,675444.0,400,5912520.0,6.765304810808251e-05
333,596448.0,399,470700.0,0.0008476736775015934
338,809741.0,400,440940.0,0.0009071529006213998
400,452313.0,400,1775160.0,0.00022533180107708601
401,465203.0,399,805620.0,0.0004952707231697327
402,684386.0,400,4403040.0,9.084632435771648e-05
403,714435.0,400,4341240.0,9.21395730252186e-05
404,777024.0,397,7207200.0,5.5083805083805084e-05
407,471272.0,400,3049440.0,0.00013117162495408994
